Array Size, GPU Time (ms), CPU Time (ms)
100, 0.0187171, 0.00028866
1100, 0.0181896, 0.00213332
2100, 0.0167553, 0.00457034
3100, 0.0152159, 0.00600962
4100, 0.0150672, 0.00806444
5100, 0.0155132, 0.0100377
6100, 0.0185683, 0.0122406
7100, 0.0152253, 0.0141022
8100, 0.0158471, 0.0165065
9100, 0.0175141, 0.0178762
10100, 0.0167425, 0.0195173
11100, 0.0211951, 0.0221808
12100, 0.0165678, 0.0235295
13100, 0.0178773, 0.0255686
14100, 0.0158228, 0.0272243
15100, 0.019233, 0.0305927
16100, 0.0229562, 0.0320344
17100, 0.022549, 0.0334959
18100, 0.0205125, 0.0355325
19100, 0.0164183, 0.0372544
20100, 0.018446, 0.0387598
21100, 0.0133471, 0.0405546
22100, 0.021705, 0.0436293
23100, 0.0134332, 0.0448119
24100, 0.0153892, 0.0468905
25100, 0.0170559, 0.0486531
26100, 0.0203275, 0.0505835
27100, 0.0293939, 0.0534316
28100, 0.0329588, 0.0557589
29100, 0.0286108, 0.056787
30100, 0.0272407, 0.0585193
31100, 0.0352801, 0.0620833
32100, 0.0310761, 0.062385
33100, 0.0353385, 0.0641288
34100, 0.0269318, 0.0665769
35100, 0.0329069, 0.0695516
36100, 0.0329508, 0.0694918
37100, 0.0357687, 0.0733598
38100, 0.033742, 0.0738351
39100, 0.0462939, 0.0793394
40100, 0.0355013, 0.077806
41100, 0.0242929, 0.0831652
42100, 0.0368107, 0.0817451
43100, 0.0327899, 0.0827939
44100, 0.0377595, 0.0857445
45100, 0.0357774, 0.087985
46100, 0.0334391, 0.0888098
47100, 0.0351896, 0.0904053
48100, 0.0383043, 0.0933652
49100, 0.0398848, 0.0952715
50100, 0.0433831, 0.0974444
51100, 0.038998, 0.0987461
52100, 0.0388161, 0.100374
53100, 0.0411353, 0.105436
54100, 0.0424757, 0.104968
55100, 0.0383772, 0.107016
56100, 0.0420389, 0.111179
57100, 0.0458504, 0.110849
58100, 0.0336672, 0.111907
59100, 0.033782, 0.113327
60100, 0.0433116, 0.117962
61100, 0.0327669, 0.117906
62100, 0.0325293, 0.120495
63100, 0.0346356, 0.124277
64100, 0.0331397, 0.123031
65100, 0.033207, 0.127106
66100, 0.0368669, 0.130039
67100, 0.0333787, 0.128603
68100, 0.0335702, 0.131558
69100, 0.035779, 0.135285
70100, 0.0335616, 0.135075
71100, 0.0337159, 0.136533
72100, 0.0352272, 0.14162
73100, 0.0414852, 0.140826
74100, 0.0366072, 0.142709
75100, 0.0387416, 0.146937
76100, 0.0341164, 0.146161
77100, 0.0340501, 0.148397
78100, 0.0385601, 0.153383
79100, 0.034116, 0.15178
80100, 0.0373625, 0.157265
81100, 0.041256, 0.155594
82100, 0.0345311, 0.157691
83100, 0.0438185, 0.162284
84100, 0.0357532, 0.16141
85100, 0.0358146, 0.163154
86100, 0.0408904, 0.168498
87100, 0.0402424, 0.168739
88100, 0.0468982, 0.173054
89100, 0.039666, 0.17137
90100, 0.0412096, 0.17327
91100, 0.0440094, 0.177524
92100, 0.0424532, 0.177433
93100, 0.0459079, 0.181723
94100, 0.0454991, 0.181279
95100, 0.0457008, 0.182969
96100, 0.0482808, 0.187334
97100, 0.0459921, 0.186749
98100, 0.0466027, 0.19126
99100, 0.0527194, 0.191962
